"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 20:58:02 WAT 2024","Tue May 07 20:58:02 WAT 2024","314","Transactional","Templates","","","","Create an email template",""
"passed","Tue May 07 20:58:13 WAT 2024","Tue May 07 20:58:14 WAT 2024","278","Account","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"passed","Tue May 07 20:57:40 WAT 2024","Tue May 07 20:57:40 WAT 2024","193","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Tue May 07 20:57:56 WAT 2024","Tue May 07 20:57:56 WAT 2024","415","Contact management","Lists","","","","Create a list",""
"passed","Tue May 07 20:57:32 WAT 2024","Tue May 07 20:57:33 WAT 2024","348","Sales CRM","Deals","","","","Delete a deal",""
"passed","Tue May 07 20:57:57 WAT 2024","Tue May 07 20:57:57 WAT 2024","333","Contact management","Lists","","","","Get contacts in a list",""
"passed","Tue May 07 20:58:17 WAT 2024","Tue May 07 20:58:17 WAT 2024","222","Account","Corporate","","","","Update sub-account plan","This endpoint will update the sub-account plan"
"passed","Tue May 07 20:58:11 WAT 2024","Tue May 07 20:58:11 WAT 2024","241","Account","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Tue May 07 20:58:07 WAT 2024","Tue May 07 20:58:08 WAT 2024","264","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Tue May 07 20:57:27 WAT 2024","Tue May 07 20:57:27 WAT 2024","386","Sales CRM","Companies","","","","Get company attributes",""
"passed","Tue May 07 20:58:08 WAT 2024","Tue May 07 20:58:08 WAT 2024","253","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Tue May 07 20:58:10 WAT 2024","Tue May 07 20:58:10 WAT 2024","292","Account","Webhooks","","","","Update a webhook",""
"passed","Tue May 07 20:58:03 WAT 2024","Tue May 07 20:58:04 WAT 2024","313","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Tue May 07 20:57:51 WAT 2024","Tue May 07 20:57:52 WAT 2024","395","Contact management","Contacts","","","","Get a contact's details","Along with the contact details, this endpoint will show the statistics of contact for the recent 90 days by default. To fetch the earlier statistics, please use Get contact campaign stats ``https://developers.sendinblue.com/reference/contacts-7#getcontactstats`` endpoint with the appropriate date ranges."
"passed","Tue May 07 20:58:02 WAT 2024","Tue May 07 20:58:02 WAT 2024","224","Transactional","Templates","","","","Update an email template",""
"passed","Tue May 07 20:58:06 WAT 2024","Tue May 07 20:58:06 WAT 2024","261","Transactional","Logs","","","","Delete hardbounces","Delete hardbounces. To use carefully (e.g. in case of temporary ISP failures)"
"passed","Tue May 07 20:57:30 WAT 2024","Tue May 07 20:57:30 WAT 2024","526","Sales CRM","Deals","","","","Get all deals",""
"failed","Tue May 07 20:57:43 WAT 2024","Tue May 07 20:57:43 WAT 2024","239","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Tue May 07 20:57:30 WAT 2024","Tue May 07 20:57:31 WAT 2024","473","Sales CRM","Deals","","","","Create a deal",""
"passed","Tue May 07 20:58:10 WAT 2024","Tue May 07 20:58:10 WAT 2024","251","Account","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Tue May 07 20:57:40 WAT 2024","Tue May 07 20:57:41 WAT 2024","225","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Tue May 07 20:58:07 WAT 2024","Tue May 07 20:58:07 WAT 2024","222","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.","This endpoint will show the list of all events history for one particular received email."
"passed","Tue May 07 20:58:19 WAT 2024","Tue May 07 20:58:19 WAT 2024","375","Account","Senders","","","","Get the list of all your senders",""
"passed","Tue May 07 20:57:36 WAT 2024","Tue May 07 20:57:36 WAT 2024","375","Sales CRM","Notes","","","","Create a note",""
"passed","Tue May 07 20:57:27 WAT 2024","Tue May 07 20:57:28 WAT 2024","373","Sales CRM","Companies","","","","Get a company",""
"passed","Tue May 07 20:58:08 WAT 2024","Tue May 07 20:58:08 WAT 2024","259","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"passed","Tue May 07 20:58:10 WAT 2024","Tue May 07 20:58:10 WAT 2024","287","Account","Webhooks","","","","Delete a webhook",""
"passed","Tue May 07 20:57:50 WAT 2024","Tue May 07 20:57:50 WAT 2024","217","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Tue May 07 20:58:11 WAT 2024","Tue May 07 20:58:11 WAT 2024","255","Account","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Tue May 07 20:58:12 WAT 2024","Tue May 07 20:58:13 WAT 2024","249","Account","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Tue May 07 20:57:47 WAT 2024","Tue May 07 20:57:48 WAT 2024","302","Conversations","Pushed messages","","","","Send an automated message to a visitor","Example of automated messages: order status, announce new features in your web app, etc."
"passed","Tue May 07 20:58:15 WAT 2024","Tue May 07 20:58:15 WAT 2024","271","Account","Process","","","","Return the informations for a process",""
"failed","Tue May 07 20:57:45 WAT 2024","Tue May 07 20:57:45 WAT 2024","208","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients","It returns the background process ID which on completion calls the notify URL that you have set in the input."
"passed","Tue May 07 20:57:36 WAT 2024","Tue May 07 20:57:37 WAT 2024","351","Sales CRM","Notes","","","","Get a note",""
"passed","Tue May 07 20:58:00 WAT 2024","Tue May 07 20:58:00 WAT 2024","213","Transactional","Email API","","","","Send a transactional email",""
"passed","Tue May 07 20:58:12 WAT 2024","Tue May 07 20:58:12 WAT 2024","250","Account","Reseller","Domains","","","Create a domain for a child account",""
"passed","Tue May 07 20:57:42 WAT 2024","Tue May 07 20:57:42 WAT 2024","253","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Tue May 07 20:57:28 WAT 2024","Tue May 07 20:57:28 WAT 2024","515","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Tue May 07 20:58:19 WAT 2024","Tue May 07 20:58:20 WAT 2024","317","Account","Senders","","","","Get all the dedicated IPs for a sender",""
"passed","Tue May 07 20:58:19 WAT 2024","Tue May 07 20:58:19 WAT 2024","321","Account","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Tue May 07 20:58:12 WAT 2024","Tue May 07 20:58:12 WAT 2024","224","Account","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"passed","Tue May 07 20:57:44 WAT 2024","Tue May 07 20:57:44 WAT 2024","236","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Tue May 07 20:58:15 WAT 2024","Tue May 07 20:58:15 WAT 2024","214","Account","Corporate","","","","Get the details of requested master account","This endpoint will provide the details of the master account."
"passed","Tue May 07 20:57:55 WAT 2024","Tue May 07 20:57:56 WAT 2024","307","Contact management","Lists","","","","Get all the lists",""
"passed","Tue May 07 20:57:47 WAT 2024","Tue May 07 20:57:47 WAT 2024","352","Conversations","Messages","","","","Delete a message sent by an agent","Only agents’ messages can be deleted."
"passed","Tue May 07 20:58:03 WAT 2024","Tue May 07 20:58:03 WAT 2024","376","Transactional","Templates","","","","Send a template to your test list",""
"passed","Tue May 07 20:58:16 WAT 2024","Tue May 07 20:58:16 WAT 2024","241","Account","Corporate","","","","Get sub-account details","This endpoint will provide the details for the specified sub-account company"
"passed","Tue May 07 20:58:01 WAT 2024","Tue May 07 20:58:01 WAT 2024","290","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Tue May 07 20:58:12 WAT 2024","Tue May 07 20:58:12 WAT 2024","292","Account","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Tue May 07 20:57:34 WAT 2024","Tue May 07 20:57:35 WAT 2024","450","Sales CRM","Tasks","","","","Get a task",""
"passed","Tue May 07 20:58:00 WAT 2024","Tue May 07 20:58:00 WAT 2024","221","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters","This endpoint will show the list of emails for past 30 days by default. To retrieve emails before that time, please pass startDate and endDate in query filters."
"passed","Tue May 07 20:58:10 WAT 2024","Tue May 07 20:58:11 WAT 2024","245","Account","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Tue May 07 20:57:41 WAT 2024","Tue May 07 20:57:42 WAT 2024","244","Marketing","Email Campaigns","","","","Get a shared template url","Get a unique URL to share & import an email template from one Sendinblue account to another."
"passed","Tue May 07 20:57:50 WAT 2024","Tue May 07 20:57:51 WAT 2024","658","Contact management","Contacts","","","","Export contacts","It returns the background process ID which on completion calls the notify URL that you have set in the input. File will be available in csv."
"passed","Tue May 07 20:58:20 WAT 2024","Tue May 07 20:58:21 WAT 2024","799","Account","Senders","","","","Update a sender",""
"passed","Tue May 07 20:58:02 WAT 2024","Tue May 07 20:58:03 WAT 2024","244","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Tue May 07 20:57:45 WAT 2024","Tue May 07 20:57:45 WAT 2024","211","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"passed","Tue May 07 20:57:53 WAT 2024","Tue May 07 20:57:53 WAT 2024","324","Contact management","Folders","","","","Get all folders",""
"passed","Tue May 07 20:57:48 WAT 2024","Tue May 07 20:57:48 WAT 2024","340","Conversations","Pushed messages","","","","Get an automated message",""
"passed","Tue May 07 20:57:56 WAT 2024","Tue May 07 20:57:56 WAT 2024","328","Contact management","Lists","","","","Get a list's details",""
"passed","Tue May 07 20:57:50 WAT 2024","Tue May 07 20:57:50 WAT 2024","266","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Tue May 07 20:58:08 WAT 2024","Tue May 07 20:58:08 WAT 2024","236","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Tue May 07 20:57:53 WAT 2024","Tue May 07 20:57:53 WAT 2024","346","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Tue May 07 20:57:43 WAT 2024","Tue May 07 20:57:43 WAT 2024","220","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Tue May 07 20:58:01 WAT 2024","Tue May 07 20:58:01 WAT 2024","194","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId","Fetch scheduled batch of emails by batchId or single scheduled email by messageId (Can retrieve data upto 30 days old)"
"passed","Tue May 07 20:57:41 WAT 2024","Tue May 07 20:57:41 WAT 2024","211","Marketing","Email Campaigns","","","","Send the report of a campaign","A PDF will be sent to the specified email addresses"
"passed","Tue May 07 20:58:05 WAT 2024","Tue May 07 20:58:05 WAT 2024","250","Transactional","Blocked Domains","","","","Get the list of blocked domains","Get the list of blocked domains"
"passed","Tue May 07 20:57:54 WAT 2024","Tue May 07 20:57:54 WAT 2024","305","Contact management","Folders","","","","Returns a folder's details",""
"passed","Tue May 07 20:57:36 WAT 2024","Tue May 07 20:57:36 WAT 2024","336","Sales CRM","Notes","","","","Get all notes",""
"passed","Tue May 07 20:58:06 WAT 2024","Tue May 07 20:58:06 WAT 2024","242","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains","Unblocks an existing domain from the list of blocked domains"
"passed","Tue May 07 20:57:34 WAT 2024","Tue May 07 20:57:34 WAT 2024","491","Sales CRM","Tasks","","","","Create a task",""
"passed","Tue May 07 20:58:09 WAT 2024","Tue May 07 20:58:09 WAT 2024","373","Account","Webhooks","","","","Create a webhook",""
"passed","Tue May 07 20:58:04 WAT 2024","Tue May 07 20:58:05 WAT 2024","246","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Tue May 07 20:57:57 WAT 2024","Tue May 07 20:57:58 WAT 2024","365","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Tue May 07 20:58:16 WAT 2024","Tue May 07 20:58:17 WAT 2024","212","Account","Corporate","","","","Delete a sub-account",""
"passed","Tue May 07 20:57:52 WAT 2024","Tue May 07 20:57:53 WAT 2024","297","Contact management","Contacts","","","","Delete a contact",""
"passed","Tue May 07 20:58:16 WAT 2024","Tue May 07 20:58:16 WAT 2024","215","Account","Corporate","","","","Generate SSO token to access Sendinblue","This endpoint generates an sso token to authenticate and access a sub-account of the master using the account endpoint https://app.sendinblue.com/account/login/sub-account/sso/[token], where [token] will be replaced by the actual token."
"passed","Tue May 07 20:57:55 WAT 2024","Tue May 07 20:57:55 WAT 2024","459","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"passed","Tue May 07 20:57:58 WAT 2024","Tue May 07 20:57:59 WAT 2024","276","Contact management","Attributes","","","","List all attributes",""
"passed","Tue May 07 20:58:16 WAT 2024","Tue May 07 20:58:16 WAT 2024","232","Account","Corporate","","","","Create a new sub-account under a master account.","This endpoint will create a new sub-account under a master account"
"passed","Tue May 07 20:57:42 WAT 2024","Tue May 07 20:57:42 WAT 2024","201","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"passed","Tue May 07 20:58:13 WAT 2024","Tue May 07 20:58:13 WAT 2024","224","Account","Reseller","Child accounts","","","Get a child account's details",""
"passed","Tue May 07 20:57:59 WAT 2024","Tue May 07 20:58:00 WAT 2024","325","Contact management","Attributes","","","","Delete an attribute",""
"passed","Tue May 07 20:57:46 WAT 2024","Tue May 07 20:57:47 WAT 2024","387","Conversations","Messages","","","","Update a message sent by an agent","Only agents’ messages can be edited."
"failed","Tue May 07 20:57:38 WAT 2024","Tue May 07 20:57:38 WAT 2024","285","Sales CRM","Files","","","","Upload a file",""
"passed","Tue May 07 20:57:40 WAT 2024","Tue May 07 20:57:40 WAT 2024","227","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Tue May 07 20:57:45 WAT 2024","Tue May 07 20:57:45 WAT 2024","254","Marketing","SMS Campaigns","","","","Send an SMS campaign's report","Send report of Sent and Archived campaign, to the specified email addresses, with respective data and a pdf attachment in detail."
"passed","Tue May 07 20:57:59 WAT 2024","Tue May 07 20:57:59 WAT 2024","374","Contact management","Attributes","","","","Create contact attribute",""
"passed","Tue May 07 20:57:29 WAT 2024","Tue May 07 20:57:29 WAT 2024","294","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Tue May 07 20:57:35 WAT 2024","Tue May 07 20:57:35 WAT 2024","437","Sales CRM","Tasks","","","","Update a task",""
"failed","Tue May 07 20:58:17 WAT 2024","Tue May 07 20:58:18 WAT 2024","668","Account","Account data","","","","Get your account information, plan and credits details",""
"passed","Tue May 07 20:57:45 WAT 2024","Tue May 07 20:57:46 WAT 2024","495","Conversations","Messages","","","","Send a message as an agent",""
"passed","Tue May 07 20:57:39 WAT 2024","Tue May 07 20:57:39 WAT 2024","324","Sales CRM","Files","","","","Get file details",""
"passed","Tue May 07 20:57:58 WAT 2024","Tue May 07 20:57:58 WAT 2024","394","Contact management","Lists","","","","Delete a list",""
"passed","Tue May 07 20:57:54 WAT 2024","Tue May 07 20:57:55 WAT 2024","359","Contact management","Folders","","","","Update a folder",""
"passed","Tue May 07 20:57:48 WAT 2024","Tue May 07 20:57:49 WAT 2024","347","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Tue May 07 20:58:05 WAT 2024","Tue May 07 20:58:05 WAT 2024","213","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Tue May 07 20:58:13 WAT 2024","Tue May 07 20:58:13 WAT 2024","241","Account","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Tue May 07 20:57:47 WAT 2024","Tue May 07 20:57:47 WAT 2024","315","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes","We recommend pinging this endpoint every minute for as long as the agent has to be considered online."
"passed","Tue May 07 20:57:31 WAT 2024","Tue May 07 20:57:32 WAT 2024","456","Sales CRM","Deals","","","","Get deal attributes",""
